n_alu,n_wg,median_ns,tflops,cyc_per_dpas
0,1,6853.0,0.3060195534802276,32.1234375
0,64,8969.0,14.96462571078158,0.6569091796875
0,256,16553.0,32.433450854829935,0.303094482421875
0,1024,54866.0,39.14051777056829,0.2511566162109375
2,1,7149.0,0.2933489998601203,33.5109375
2,64,8568.0,15.665000933706816,0.6275390625
2,256,17008.0,31.56578739416745,0.31142578125
2,1024,55026.0,39.0267082470105,0.2518890380859375
4,1,6847.0,0.30628771724842996,32.0953125
4,64,9090.0,14.765426622662263,0.665771484375
4,256,16568.0,32.40408691453404,0.303369140625
4,1024,54799.0,39.18837292651326,0.25084991455078126
8,1,6870.0,0.3052622998544396,32.203125
8,64,9151.0,14.667001202054418,0.6702392578124999
8,256,16337.0,32.862270429087346,0.29913940429687497
8,1024,54728.0,39.2392129805584,0.25052490234374997
