n_sgs,bar_interval,n_wg,median_ns,tflops,cyc_per_dpas
4,0,160,37512.0,71.55988910215397,0.13737304687500002
4,4,160,30893.0,86.89200012947916,0.113133544921875
4,8,160,37487.0,71.60761223890948,0.13728149414062502
4,16,160,37456.0,71.6668774028193,0.13716796874999998
4,32,160,37455.0,71.66879081564544,0.137164306640625
4,64,160,37440.0,71.69750427350426,0.137109375
4,128,160,37425.0,71.72624074816298,0.137054443359375
8,0,160,67551.0,79.47638258500984,0.1236895751953125
8,4,160,49580.0,108.28376603469141,0.09078369140625
8,8,160,49466.0,108.53331823879027,0.090574951171875
8,16,160,49534.0,108.38432430249928,0.090699462890625
8,32,160,49698.0,108.0266634472212,0.090999755859375
8,64,160,59129.0,90.79654856331072,0.10826843261718751
8,128,160,61886.0,86.75159357528358,0.113316650390625
16,0,160,127543.0,84.18665265831916,0.11676910400390625
16,4,160,91670.0,117.13121239227664,0.0839263916015625
16,8,160,97359.0,110.28685832845449,0.08913482666015625
16,16,160,97560.0,110.05963755637556,0.08931884765625
16,32,160,103602.0,103.64103241250169,0.0948504638671875
16,64,160,103678.0,103.56505951117884,0.09492004394531249
16,128,160,121702.0,88.2271305319551,0.1114215087890625
