ilp,median_ns,cyc_per_dpas,tflops,dpas_in_asm
1,6740.0,252.75,0.038893768545994065,64
2,6696.0,125.55,0.07829868578255675,64
3,7047.0,88.08749999999999,0.11159812686249468,64
4,6807.0,63.815625,0.15404377846334655,64
5,7102.0,53.265,0.18455646296817796,64
6,6800.0,42.5,0.2313035294117647,64
7,6887.0,36.894642857142856,0.26644518658341804,64
8,6698.0,31.396874999999998,0.3131012242460436,64
9,6637.0,27.654166666666665,0.35547626939882476,64
10,6845.0,25.66875,0.38297151205259305,64
12,6835.0,21.359375,0.4602381858083394,64
14,6667.0,17.858035714285712,0.5504748762561872,64
16,6778.0,15.885937499999999,0.6188114488049572,64
