mode,n_dpas,wg_size,n_wg,dpas_count_in_asm,median_ns,mean_ns,min_ns,max_ns,cycles_per_dpas,ghz
latency,1,16,1,1,5953.0,5981.7,5709.0,8906.0,14287.199999999999,2.4
latency,2,16,1,2,5938.0,6027.1,5680.0,8925.0,7125.599999999999,2.4
latency,3,16,1,3,6004.0,6168.1,5743.0,10899.0,4803.2,2.4
latency,4,16,1,4,5977.0,6064.8,5713.0,9024.0,3586.2,2.4
latency,5,16,1,5,5820.0,6001.3,5651.0,9237.0,2793.6,2.4
latency,6,16,1,6,6391.0,6490.6,6292.0,9079.0,2556.4,2.4
latency,7,16,1,7,5950.0,6002.5,5732.0,8871.0,2040.0,2.4
latency,8,16,1,8,5979.0,6095.6,5904.0,8970.0,1793.7,2.4
latency,10,16,1,10,6022.0,6119.0,5818.0,9422.0,1445.28,2.4
latency,12,16,1,12,6027.0,6149.8,5861.0,9483.0,1205.3999999999999,2.4
latency,14,16,1,14,5996.0,6127.3,5914.0,9556.0,1027.8857142857144,2.4
latency,16,16,1,16,6257.0,6344.7,5987.0,9319.0,938.55,2.4
latency,20,16,1,20,6242.0,6292.7,5987.0,9998.0,749.04,2.4
latency,24,16,1,24,6104.0,6555.4,5962.0,22877.0,610.4,2.4
latency,32,16,1,32,6276.0,6384.2,6030.0,9734.0,470.7,2.4
latency,48,16,1,48,6585.0,6715.0,6321.0,9896.0,329.25,2.4
latency,64,16,1,64,6853.0,7042.2,6557.0,11471.0,256.9875,2.4
latency,128,16,1,128,7793.0,7859.3,7577.0,10835.0,146.11875,2.4
latency,256,16,1,256,9399.0,9462.5,9145.0,13096.0,88.115625,2.4
latency,512,16,1,512,12992.0,13100.2,12862.0,16108.0,60.9,2.4
