n,median_ns,mean_ns,stddev_ns,cv_pct,ci_lo,ci_hi,dpas_in_asm
1,6134.0,6183.5,365.6,5.9,6111.9,6255.2,1
2,5880.0,5894.6,301.1,5.1,5835.6,5953.6,2
4,5945.0,6028.7,530.6,8.8,5924.7,6132.7,4
8,6001.0,6159.2,505.9,8.2,6060.0,6258.3,8
16,6038.0,6074.2,337.3,5.6,6008.1,6140.3,16
32,6270.0,6404.6,718.3,11.2,6263.8,6545.3,32
64,6633.0,6709.1,352.3,5.3,6640.0,6778.1,64
128,7694.0,7738.0,354.0,4.6,7668.6,7807.4,128
256,10181.0,10284.4,530.2,5.2,10180.5,10388.3,256
512,12999.0,13097.1,442.1,3.4,13010.4,13183.7,512
