mode,n_ilp,n_sg,wg_size,n_iter,dpas_count_in_asm,median_ns,total_dpas,tflops
throughput,1,1,16,128,128,7566.0,128,0.06929526830557758
throughput,1,2,32,128,128,8716.0,128,0.060152363469481406
throughput,1,4,64,128,128,8944.0,128,0.058618962432915915
throughput,1,8,128,128,128,7884.0,128,0.06650025367833585
throughput,1,16,256,128,128,7993.0,128,0.06559339421994244
throughput,2,1,16,128,256,9869.0,256,0.10624946803120883
throughput,2,2,32,128,256,9804.0,256,0.10695389636882904
throughput,2,4,64,128,256,9979.0,256,0.10507826435514579
throughput,2,8,128,128,256,10158.0,256,0.10322661941327033
throughput,2,16,256,128,256,10523.0,256,0.09964610852418511
throughput,4,1,16,128,512,11633.0,512,0.18027611106335426
throughput,4,2,32,128,512,10673.0,512,0.1964913332708704
throughput,4,4,64,128,512,12006.0,512,0.1746753290021656
throughput,4,8,128,128,512,12553.0,512,0.1670638094479407
throughput,4,16,256,128,512,15843.0,512,0.13237088935176416
throughput,8,1,16,128,1024,16735.0,1024,0.25063065431729903
throughput,8,2,32,128,1024,16805.0,1024,0.24958667063373993
throughput,8,4,64,128,1024,16860.0,1024,0.24877247924080662
throughput,8,8,128,128,1024,17062.0,1024,0.24582721838002577
throughput,8,16,256,128,1024,22325.0,1024,0.18787475923852182
