size_kb,size_str,n_wg,median_ns,bandwidth_gbps
1024,1MB,1,9522.0,27.5
1024,1MB,4,9756.0,107.5
1024,1MB,16,11000.0,381.3
1024,1MB,64,17621.0,952.1
1024,1MB,256,42628.0,1574.3
2048,2MB,1,9511.0,27.6
2048,2MB,4,9725.0,107.8
2048,2MB,16,10950.0,383.0
2048,2MB,64,17384.0,965.1
2048,2MB,256,42703.0,1571.5
4096,4MB,1,9538.0,27.5
4096,4MB,4,9666.0,108.5
4096,4MB,16,10919.0,384.1
4096,4MB,64,17363.0,966.3
4096,4MB,256,42714.0,1571.1
8192,8MB,1,9443.0,27.8
8192,8MB,4,9794.0,107.1
8192,8MB,16,11116.0,377.3
8192,8MB,64,17166.0,977.4
8192,8MB,256,42647.0,1573.6
16384,16MB,1,9508.0,27.6
16384,16MB,4,9759.0,107.4
16384,16MB,16,10965.0,382.5
16384,16MB,64,17285.0,970.6
16384,16MB,256,42695.0,1571.8
32768,32MB,1,9505.0,27.6
32768,32MB,4,9720.0,107.9
32768,32MB,16,10956.0,382.8
32768,32MB,64,17335.0,967.8
32768,32MB,256,42661.0,1573.1
65536,64MB,1,9454.0,27.7
65536,64MB,4,9707.0,108.0
65536,64MB,16,10935.0,383.6
65536,64MB,64,17648.0,950.7
65536,64MB,256,42733.0,1570.4
131072,128MB,1,9507.0,27.6
131072,128MB,4,9780.0,107.2
131072,128MB,16,10986.0,381.8
131072,128MB,64,17574.0,954.7
131072,128MB,256,42800.0,1568.0
