size_kb,size_str,median_ns,cycles_per_access,ns_per_access,region
1,1KB,120798.0,70.8,29.5,SLM/L1
2,2KB,120841.0,70.8,29.5,SLM/L1
4,4KB,126836.0,74.3,31.0,SLM/L1
8,8KB,126758.0,74.3,30.9,SLM/L1
16,16KB,132835.0,77.8,32.4,SLM/L1
32,32KB,156820.0,91.9,38.3,SLM/L1
48,48KB,174797.0,102.4,42.7,SLM/L1
64,64KB,188421.0,110.4,46.0,SLM/L1
96,96KB,222835.0,130.6,54.4,SLM/L1
128,128KB,246629.0,144.5,60.2,SLM/L1
192,192KB,277098.0,162.4,67.7,L2
256,256KB,303135.0,177.6,74.0,L2
384,384KB,333574.0,195.5,81.4,L2
512,512KB,343096.0,201.0,83.8,L2
768,768KB,366711.0,214.9,89.5,L2
1024,1MB,374858.0,219.6,91.5,L2
1536,1MB,385504.0,225.9,94.1,L2
2048,2MB,391328.0,229.3,95.5,L2
4096,4MB,397209.0,232.7,97.0,L2
8192,8MB,402960.0,236.1,98.4,Global
16384,16MB,422246.0,247.4,103.1,Global
32768,32MB,433336.0,253.9,105.8,Global
65536,64MB,439285.0,257.4,107.2,Global
131072,128MB,444908.0,260.7,108.6,Global
