CSV,clock,sustained_sm_clock_full_load,2.2993,GHz,
# ---- latency (dependent chain, cycles/op) ----
CSV,alu_latency,empty_loop_overhead,0.0000,cycles,
CSV,alu_latency,FADD_f32,4.4447,cycles,
CSV,alu_latency,FMUL_f32,4.4440,cycles,
CSV,alu_latency,FFMA_f32,4.4436,cycles,
CSV,alu_latency,FMUL2dep_f32,8.5680,cycles,
CSV,alu_latency,FSETP_SEL_f32,10.5054,cycles,
CSV,alu_latency,MUFU_sin,22.1272,cycles,
CSV,alu_latency,MUFU_rcp,44.2514,cycles,
CSV,alu_latency,MUFU_rsqrt,24.0013,cycles,
CSV,alu_latency,MUFU_lg2,30.2514,cycles,
CSV,alu_latency,MUFU_ex2,46.2514,cycles,
CSV,alu_latency,F2I_chain,44.7552,cycles,
CSV,alu_latency,IADD3_i32,2.4438,cycles,
CSV,alu_latency,IMAD_i32,4.4435,cycles,
CSV,alu_latency,LOP3_i32,1.7563,cycles,
CSV,alu_latency,SHF_i32,4.4436,cycles,
CSV,alu_latency,POPC_i32,22.4433,cycles,
CSV,alu_latency,I2F_chain,39.7545,cycles,
CSV,alu_latency,DFMA_f64,64.0685,cycles,
CSV,alu_latency,HFMA2_f16x2,4.4398,cycles,
# ---- throughput (ops/clk/SM) ----
CSV,alu_throughput,FADD_f32,84.1767,ops/clk/SM,
CSV,alu_throughput_rate,FADD_f32,30.1934,TOPS,
CSV,alu_throughput,FMUL_f32,84.0115,ops/clk/SM,
CSV,alu_throughput_rate,FMUL_f32,30.1341,TOPS,
CSV,alu_throughput,FFMA_f32,115.7274,ops/clk/SM,
CSV,alu_throughput_rate,FFMA_f32,83.0206,TFLOPS,
CSV,alu_throughput,FSETP_SEL_f32,33.9214,ops/clk/SM,
CSV,alu_throughput_rate,FSETP_SEL_f32,12.1673,TOPS,
CSV,alu_throughput,MUFU_sin,15.8576,ops/clk/SM,
CSV,alu_throughput_rate,MUFU_sin,5.6880,TOPS,
CSV,alu_throughput,MUFU_rcp,15.2925,ops/clk/SM,
CSV,alu_throughput_rate,MUFU_rcp,5.4853,TOPS,
CSV,alu_throughput,MUFU_rsqrt,15.8461,ops/clk/SM,
CSV,alu_throughput_rate,MUFU_rsqrt,5.6838,TOPS,
CSV,alu_throughput,MUFU_lg2,15.4130,ops/clk/SM,
CSV,alu_throughput_rate,MUFU_lg2,5.5285,TOPS,
CSV,alu_throughput,MUFU_ex2,15.2176,ops/clk/SM,
CSV,alu_throughput_rate,MUFU_ex2,5.4584,TOPS,
CSV,alu_throughput,F2I_f32_s32,39.3401,ops/clk/SM,
CSV,alu_throughput_rate,F2I_f32_s32,14.1109,TOPS,
CSV,alu_throughput,IADD3_i32,119.4874,ops/clk/SM,
CSV,alu_throughput_rate,IADD3_i32,42.8590,TOPS,
CSV,alu_throughput,IMAD_i32,61.4484,ops/clk/SM,
CSV,alu_throughput_rate,IMAD_i32,22.0410,TOPS,
CSV,alu_throughput,LOP3_i32,211.8915,ops/clk/SM,
CSV,alu_throughput_rate,LOP3_i32,76.0034,TOPS,
CSV,alu_throughput,SHF_i32,61.4476,ops/clk/SM,
CSV,alu_throughput_rate,SHF_i32,22.0406,TOPS,
CSV,alu_throughput,POPC_i32,28.5549,ops/clk/SM,
CSV,alu_throughput_rate,POPC_i32,10.2424,TOPS,
CSV,alu_throughput,I2F_s32_f32,23.3446,ops/clk/SM,
CSV,alu_throughput_rate,I2F_s32_f32,8.3735,TOPS,
CSV,alu_throughput,HFMA2_f16x2,63.0741,ops/clk/SM,
CSV,alu_throughput_rate,HFMA2_f16x2,90.4963,TFLOPS,
CSV,alu_throughput,DFMA_f64,1.6870,ops/clk/SM,
CSV,alu_throughput_rate,DFMA_f64,1.2102,TFLOPS,
# SMs=156 freq=2.299 GHz
