exp,ilp,n_iter,n_wg,median_ns,cyc_per_dpas,tflops
T1_ilp_sweep,3,16384,32,473325.0,23.111572265625,108.88841187767389
T1_ilp_sweep,4,16384,32,589128.0,21.57451171875,116.64608834752379
T1_ilp_sweep,5,16384,32,728192.0,21.33375,117.96249604499913
T1_ilp_sweep,6,16384,32,865247.0,21.1241943359375,119.13270442313004
T1_ilp_sweep,7,16384,32,3262558.0,68.27339564732142,36.86036670857652
T3_core_scaling,4,8192,1,290750.0,21.295166015625,3.6930071332760104
T3_core_scaling,4,8192,2,290903.0,21.3063720703125,7.382129603338569
T3_core_scaling,4,8192,4,291013.0,21.3144287109375,14.758678464535947
T3_core_scaling,4,8192,8,291588.0,21.35654296875,29.459149868993233
T3_core_scaling,4,8192,16,300020.0,21.97412109375,57.26241311912539
T3_core_scaling,4,8192,32,314044.0,23.00126953125,109.4105869495994
