n_alu,n_wg,median_ns,tflops,cyc_per_dpas
0,1,7948.0,0.26385908404630093,37.25625
0,64,9958.0,13.478382004418558,0.729345703125
0,256,17582.0,30.53525833238539,0.32193603515624997
0,1024,57298.0,37.479207790847845,0.26228942871093747
2,1,7895.0,0.26563039898670043,37.0078125
2,64,10040.0,13.368299601593625,0.7353515625
2,256,18984.0,28.280178676780444,0.347607421875
2,1024,57329.0,37.45894133858954,0.26243133544921876
4,1,8034.0,0.2610346029375155,37.659375
4,64,10026.0,13.386966686614802,0.7343261718749999
4,256,17765.0,30.220709935265972,0.325286865234375
4,1024,57178.0,37.55786575256217,0.26174011230468747
8,1,8165.0,0.25684654011022656,38.2734375
8,64,9977.0,13.45271404229728,0.7307373046875
8,256,17614.0,30.47978380833428,0.32252197265625
8,1024,57271.0,37.49687709311868,0.26216583251953124
