n_sgs,bar_interval,n_wg,median_ns,tflops,cyc_per_dpas
4,0,160,33973.0,79.01435139669738,0.12441284179687499
4,4,160,33738.0,79.56472108601577,0.12355224609375
4,8,160,33810.0,79.3952842354333,0.12381591796875
4,16,160,33804.0,79.40937640515914,0.12379394531249999
4,32,160,33835.0,79.33662065908082,0.123907470703125
4,64,160,33838.0,79.32958685501507,0.12391845703125
4,128,160,33939.0,79.09350776392941,0.12428833007812498
8,0,160,63219.0,84.92239864597667,0.11575744628906251
8,4,160,45487.0,118.02732912700331,0.08328918457031251
8,8,160,45530.0,117.91586031188228,0.083367919921875
8,16,160,45596.0,117.74517764716204,0.08348876953124999
8,32,160,51368.0,104.51466126771531,0.0940576171875
8,64,160,51513.0,104.22047094908079,0.09432312011718749
8,128,160,63203.0,84.94389696691613,0.11572814941406248
16,0,160,127162.0,84.43889086362279,0.11642028808593749
16,4,160,92445.0,116.14925891070365,0.08463592529296875
16,8,160,92505.0,116.07392292308522,0.08469085693359375
16,16,160,92462.0,116.12790378750188,0.08465148925781249
16,32,160,92539.0,116.03127589448772,0.08472198486328125
16,64,160,98311.0,109.21888944268699,0.09000640869140625
16,128,160,124207.0,86.44777057653755,0.11371490478515625
