ilp,median_ns,cyc_per_dpas,tflops,dpas_in_asm
1,8406.0,315.22499999999997,0.031185343802046153,64
2,7973.0,149.49375,0.06575793302395586,64
3,8174.0,102.175,0.09621140200636163,64
4,8209.0,76.959375,0.12773492508222684,64
5,7858.0,58.935,0.16680071264952914,64
6,7782.0,48.637499999999996,0.20211565150346952,64
7,7838.0,41.989285714285714,0.23411686654758865,64
8,7879.0,36.9328125,0.26616981850488636,64
9,8146.0,33.94166666666666,0.28962631966609376,64
10,8081.0,30.303749999999997,0.32439549560697933,64
12,7780.0,24.3125,0.40433521850899745,64
14,7926.0,21.23035714285714,0.4630350744385566,64
16,7834.0,18.3609375,0.5353974980852694,64
