n,median_ns,mean_ns,stddev_ns,cv_pct,ci_lo,ci_hi,dpas_in_asm
1,6840.0,6876.5,513.8,7.5,6775.8,6977.2,1
2,7093.0,7121.0,578.8,8.1,7007.6,7234.5,2
4,7055.0,7135.0,538.4,7.5,7029.5,7240.5,4
8,7040.0,7089.6,657.5,9.3,6960.7,7218.5,8
16,7279.0,7369.9,706.3,9.6,7231.5,7508.4,16
32,7447.0,7528.0,595.6,7.9,7411.3,7644.8,32
64,7786.0,7887.3,621.1,7.9,7765.6,8009.0,64
128,8740.0,8735.7,468.8,5.4,8643.8,8827.6,128
256,10521.0,10639.5,606.0,5.7,10520.8,10758.3,256
512,13945.0,14005.6,577.7,4.1,13892.4,14118.8,512
