mode,n_ilp,n_sg,wg_size,n_iter,dpas_count_in_asm,median_ns,total_dpas,tflops
throughput,1,1,16,128,128,8859.0,128,0.05918139744892199
throughput,1,2,32,128,128,8894.0,128,0.058948504609849336
throughput,1,4,64,128,128,8800.0,128,0.059578181818181815
throughput,1,8,128,128,128,9223.0,128,0.05684571180743792
throughput,1,16,256,128,128,9168.0,128,0.05718673647469458
throughput,2,1,16,128,256,9979.0,256,0.10507826435514579
throughput,2,2,32,128,256,9628.0,256,0.10890901537183216
throughput,2,4,64,128,256,9845.0,256,0.10650848146267139
throughput,2,8,128,128,256,10039.0,256,0.10445024404821197
throughput,2,16,256,128,256,11130.0,256,0.09421168014375561
throughput,4,1,16,128,512,11781.0,512,0.17801137424666832
throughput,4,2,32,128,512,11654.0,512,0.1799512613694869
throughput,4,4,64,128,512,12242.0,512,0.1713079562163045
throughput,4,8,128,128,512,12504.0,512,0.16771849008317338
throughput,4,16,256,128,512,15951.0,512,0.131474641088333
throughput,8,1,16,128,1024,16692.0,1024,0.2512763000239635
throughput,8,2,32,128,1024,16718.0,1024,0.2508855126211269
throughput,8,4,64,128,1024,16890.0,1024,0.2483306098283007
throughput,8,8,128,128,1024,16964.0,1024,0.24724734732374434
throughput,8,16,256,128,1024,21858.0,1024,0.19188873638942264
