size_kb,size_str,median_ns,cycles_per_access,ns_per_access,region
1,1KB,121695.0,71.3,29.7,SLM/L1
2,2KB,121905.0,71.4,29.8,SLM/L1
4,4KB,127562.0,74.7,31.1,SLM/L1
8,8KB,127562.0,74.7,31.1,SLM/L1
16,16KB,133746.0,78.4,32.7,SLM/L1
32,32KB,157003.0,92.0,38.3,SLM/L1
48,48KB,175478.0,102.8,42.8,SLM/L1
64,64KB,194495.0,114.0,47.5,SLM/L1
96,96KB,227184.0,133.1,55.5,SLM/L1
128,128KB,251112.0,147.1,61.3,SLM/L1
192,192KB,291607.0,170.9,71.2,L2
256,256KB,315074.0,184.6,76.9,L2
384,384KB,344586.0,201.9,84.1,L2
512,512KB,357945.0,209.7,87.4,L2
768,768KB,379726.0,222.5,92.7,L2
1024,1MB,391334.0,229.3,95.5,L2
1536,1MB,403193.0,236.2,98.4,L2
2048,2MB,408946.0,239.6,99.8,L2
4096,4MB,416338.0,243.9,101.6,L2
8192,8MB,420405.0,246.3,102.6,Global
16384,16MB,443108.0,259.6,108.2,Global
32768,32MB,454760.0,266.5,111.0,Global
65536,64MB,460481.0,269.8,112.4,Global
131072,128MB,461821.0,270.6,112.7,Global
