-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                vllm:v2/target/decode/full_graph_replay         0.00%       0.000us         0.00%       0.000us       0.000us      16.201ms        59.34%      16.201ms     506.278us            32  
                           vllm:v2/target/decode/logits         0.00%       0.000us         0.00%       0.000us       0.000us      14.255ms        52.21%      14.255ms     890.946us            16  
                                               aten::mm         0.25%     784.642us         0.30%     929.454us      58.091us      14.172ms        51.91%      14.172ms     885.754us            16  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      14.172ms        51.91%      14.172ms     885.754us            16  
                          vllm:v2/target/prepare_inputs         0.00%       0.000us         0.00%       0.000us       0.000us       6.310ms        23.11%       6.310ms     394.400us            16  
kernel_cutlass_kernel_b12xmoefusedsiluMoEMicroKernel...         0.00%       0.000us         0.00%       0.000us       0.000us       3.666ms        13.43%       3.666ms     114.558us            32  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us       1.984ms         7.27%       1.984ms      61.997us            32  
              vllm:v2/target/decode/build_attn_metadata         0.00%       0.000us         0.00%       0.000us       0.000us       1.646ms         6.03%       1.646ms     102.880us            16  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us       1.062ms         3.89%       1.062ms      33.183us            32  
              vllm:v2/target/decode/prepare_attn_tables         0.00%       0.000us         0.00%       0.000us       0.000us       1.052ms         3.85%       1.052ms      65.751us            16  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us       1.017ms         3.72%       1.017ms      31.769us            32  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us     949.810us         3.48%     949.810us      29.682us            32  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us     801.816us         2.94%     801.816us      12.528us            64  
                            vllm:v2/target/update_batch         0.00%       0.000us         0.00%       0.000us       0.000us     799.251us         2.93%     799.251us     799.251us             1  
kernel_cutlass_kernel_pertok_b12xattentionmlakernelU...         0.00%       0.000us         0.00%       0.000us       0.000us     469.430us         1.72%     469.430us      14.670us            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     383.000us         1.40%     383.000us       0.997us           384  
                           vllm:v2/target/decode/sample         0.00%       0.000us         0.00%       0.000us       0.000us     322.427us         1.18%     322.427us      20.152us            16  
