-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                vllm:v2/target/decode/full_graph_replay         0.00%       0.000us         0.00%       0.000us       0.000us     194.376ms       145.78%     194.376ms       3.888ms            50  
kernel_cutlass_kernel_b12xmoefusedsiluMoEDynamicKern...         0.00%       0.000us         0.00%       0.000us       0.000us      83.969ms        62.98%      83.969ms       1.749ms            48  
                           vllm:v2/target/decode/logits         0.00%       0.000us         0.00%       0.000us       0.000us      22.492ms        16.87%      22.492ms     899.680us            25  
                                               aten::mm         0.22%       2.012ms         0.25%       2.279ms      91.171us      22.225ms        16.67%      22.225ms     888.988us            25  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      10.653ms         7.99%      10.653ms     887.783us            12  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       8.949ms         6.71%       8.949ms     894.872us            10  
                          vllm:v2/target/prepare_inputs         0.00%       0.000us         0.00%       0.000us       0.000us       7.643ms         5.73%       7.643ms     305.703us            25  
                            vllm:v2/target/update_batch         0.00%       0.000us         0.00%       0.000us       0.000us       7.638ms         5.73%       7.638ms     763.799us            10  
                           vllm:v2/target/decode/sample         0.00%       0.000us         0.00%       0.000us       0.000us       5.388ms         4.04%       5.388ms     215.527us            25  
                                  _gumbel_sample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.447ms         3.34%       4.447ms     177.879us            25  
kernel_cutlass_kernel_pertok_b12xattentionmlakernelU...         0.00%       0.000us         0.00%       0.000us       0.000us       3.123ms         2.34%       3.123ms      65.052us            48  
              vllm:v2/target/decode/build_attn_metadata         0.00%       0.000us         0.00%       0.000us       0.000us       2.906ms         2.18%       2.906ms     116.244us            25  
kernel_cutlass_kernel_b12xintegrationresidual_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us       1.968ms         1.48%       1.968ms      19.684us           100  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us       1.824ms         1.37%       1.824ms      37.999us            48  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.756ms         1.32%       1.756ms     292.689us             6  
             _quantize_attention_inv_rope_to_tdg_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.720ms         1.29%       1.720ms      34.399us            50  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us       1.661ms         1.25%       1.661ms      34.605us            48  
