-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                vllm:v2/target/decode/full_graph_replay         0.00%       0.000us         0.00%       0.000us       0.000us     156.654ms       184.11%     156.654ms       2.089ms            75  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us      40.066ms        47.09%      40.066ms     385.247us           104  
                           vllm:v2/target/decode/logits         0.00%       0.000us         0.00%       0.000us       0.000us      17.847ms        20.98%      17.847ms     686.409us            26  
                                               aten::mm         0.37%       3.319ms         0.49%       4.316ms     166.001us      11.726ms        13.78%      12.618ms     485.326us            26  
                           vllm:v2/target/decode/sample         0.00%       0.000us         0.00%       0.000us       0.000us       7.882ms         9.26%       7.882ms     303.163us            26  
                          vllm:v2/target/prepare_inputs         0.00%       0.000us         0.00%       0.000us       0.000us       7.856ms         9.23%       7.856ms     302.154us            26  
                            vllm:v2/target/update_batch         0.00%       0.000us         0.00%       0.000us       0.000us       6.848ms         8.05%       6.848ms     684.777us            10  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       5.481ms         6.44%       5.481ms      47.661us           115  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       5.440ms         6.39%       5.440ms     453.367us            12  
                                     record_param_comms         0.35%       3.081ms         0.44%       3.877ms     149.109us       4.356ms         5.12%       4.356ms     167.543us            26  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       4.356ms         5.12%       4.356ms     167.543us            26  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us       4.356ms         5.12%       4.356ms     167.543us            26  
                                  _gumbel_sample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.344ms         5.11%       4.344ms     167.065us            26  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       3.623ms         4.26%       3.623ms     452.815us             8  
              vllm:v2/target/decode/build_attn_metadata         0.00%       0.000us         0.00%       0.000us       0.000us       2.341ms         2.75%       2.341ms      90.024us            26  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us       2.077ms         2.44%       2.077ms      22.581us            92  
kernel_cutlass_kernel_b12xintegrationresidual_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us       1.989ms         2.34%       1.989ms      19.128us           104  
