-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                vllm:v2/target/decode/full_graph_replay         0.00%       0.000us         0.00%       0.000us       0.000us     201.849ms       127.00%     201.849ms       2.170ms            93  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      81.321ms        51.17%      81.321ms     560.837us           145  
kernel_cutlass_kernel_b12xmoefusedsiluMoEDynamicKern...         0.00%       0.000us         0.00%       0.000us       0.000us      26.540ms        16.70%      26.540ms     457.590us            58  
                           vllm:v2/target/decode/logits         0.00%       0.000us         0.00%       0.000us       0.000us      13.456ms         8.47%      13.456ms     420.498us            32  
void pcie_allreduce::pcie_allreduce_kernel<__nv_bflo...         0.00%       0.000us         0.00%       0.000us       0.000us      12.929ms         8.13%      12.929ms     861.937us            15  
                           vllm:v2/target/decode/sample         0.00%       0.000us         0.00%       0.000us       0.000us       7.796ms         4.90%       7.796ms     243.614us            32  
                                     record_param_comms         0.30%       2.891ms         0.38%       3.633ms     113.529us       7.405ms         4.66%       7.405ms     231.414us            32  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       7.405ms         4.66%       7.405ms     231.414us            32  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us       7.405ms         4.66%       7.405ms     231.414us            32  
                                               aten::mm         0.27%       2.569ms         0.32%       3.072ms      96.010us       7.252ms         4.56%       7.481ms     233.785us            32  
                                  _gumbel_sample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.865ms         4.32%       6.865ms     214.529us            32  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       4.522ms         2.84%       4.522ms     226.081us            20  
kernel_cutlass_kernel_b12xintegrationresidual_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us       2.090ms         1.31%       2.090ms      16.324us           128  
                            vllm:v2/target/update_batch         0.00%       0.000us         0.00%       0.000us       0.000us       2.006ms         1.26%       2.006ms     125.366us            16  
                          vllm:v2/target/prepare_inputs         0.00%       0.000us         0.00%       0.000us       0.000us       1.517ms         0.95%       1.517ms      47.400us            32  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us       1.344ms         0.85%       1.344ms      11.582us           116  
kernel_cutlass_kernel_pertok_b12xattentionmlakernelU...         0.00%       0.000us         0.00%       0.000us       0.000us       1.220ms         0.77%       1.220ms      19.065us            64  
