CSV,clock,sustained_sm_clock_full_load,2.5752,GHz,
CSV,alu_latency,empty_loop_overhead,0.0000,cycles,
CSV,alu_latency,FADD_f32,4.4435,cycles,
CSV,alu_latency,FMUL_f32,4.4435,cycles,
CSV,alu_latency,FFMA_f32,4.4441,cycles,
CSV,alu_latency,FMUL2dep_f32,8.4434,cycles,
CSV,alu_latency,FSETP_SEL_f32,10.3809,cycles,
CSV,alu_latency,MUFU_sin,22.1267,cycles,
CSV,alu_latency,MUFU_rcp,44.7514,cycles,
CSV,alu_latency,MUFU_rsqrt,24.0014,cycles,
CSV,alu_latency,MUFU_lg2,29.7514,cycles,
CSV,alu_latency,MUFU_ex2,45.7514,cycles,
CSV,alu_latency,F2I_chain,45.2551,cycles,
CSV,alu_latency,IADD3_i32,2.4435,cycles,
CSV,alu_latency,IMAD_i32,4.4440,cycles,
CSV,alu_latency,LOP3_i32,1.8815,cycles,
CSV,alu_latency,SHF_i32,4.4440,cycles,
CSV,alu_latency,POPC_i32,22.4430,cycles,
CSV,alu_latency,I2F_chain,40.5044,cycles,
CSV,alu_latency,DFMA_f64,63.4423,cycles,
CSV,alu_latency,HFMA2_f16x2,4.4399,cycles,
CSV,alu_throughput,FADD_f32,83.8849,ops/clk/SM,
CSV,alu_throughput_rate,FADD_f32,23.7627,TOPS,
CSV,alu_throughput,FMUL_f32,83.7736,ops/clk/SM,
CSV,alu_throughput_rate,FMUL_f32,23.7312,TOPS,
CSV,alu_throughput,FFMA_f32,116.0256,ops/clk/SM,
CSV,alu_throughput_rate,FFMA_f32,65.7349,TFLOPS,
CSV,alu_throughput,FSETP_SEL_f32,33.9215,ops/clk/SM,
CSV,alu_throughput_rate,FSETP_SEL_f32,9.6092,TOPS,
CSV,alu_throughput,MUFU_sin,15.9251,ops/clk/SM,
CSV,alu_throughput_rate,MUFU_sin,4.5112,TOPS,
CSV,alu_throughput,MUFU_rcp,15.0620,ops/clk/SM,
CSV,alu_throughput_rate,MUFU_rcp,4.2667,TOPS,
CSV,alu_throughput,MUFU_rsqrt,15.9209,ops/clk/SM,
CSV,alu_throughput_rate,MUFU_rsqrt,4.5100,TOPS,
CSV,alu_throughput,MUFU_lg2,15.4533,ops/clk/SM,
CSV,alu_throughput_rate,MUFU_lg2,4.3776,TOPS,
CSV,alu_throughput,MUFU_ex2,15.3212,ops/clk/SM,
CSV,alu_throughput_rate,MUFU_ex2,4.3402,TOPS,
CSV,alu_throughput,F2I_f32_s32,39.3321,ops/clk/SM,
CSV,alu_throughput_rate,F2I_f32_s32,11.1419,TOPS,
CSV,alu_throughput,IADD3_i32,123.2049,ops/clk/SM,
CSV,alu_throughput_rate,IADD3_i32,34.9012,TOPS,
CSV,alu_throughput,IMAD_i32,61.5853,ops/clk/SM,
CSV,alu_throughput_rate,IMAD_i32,17.4457,TOPS,
CSV,alu_throughput,LOP3_i32,222.9750,ops/clk/SM,
CSV,alu_throughput_rate,LOP3_i32,63.1638,TOPS,
CSV,alu_throughput,SHF_i32,62.7674,ops/clk/SM,
CSV,alu_throughput_rate,SHF_i32,17.7806,TOPS,
CSV,alu_throughput,POPC_i32,28.6027,ops/clk/SM,
CSV,alu_throughput_rate,POPC_i32,8.1025,TOPS,
CSV,alu_throughput,I2F_s32_f32,23.3861,ops/clk/SM,
CSV,alu_throughput_rate,I2F_s32_f32,6.6248,TOPS,
CSV,alu_throughput,HFMA2_f16x2,63.2828,ops/clk/SM,
CSV,alu_throughput_rate,HFMA2_f16x2,71.7064,TFLOPS,
CSV,alu_throughput,DFMA_f64,1.6854,ops/clk/SM,
CSV,alu_throughput_rate,DFMA_f64,0.9549,TFLOPS,
