CSV,clock,sustained_sm_clock,2.5767,GHz,
CSV,cvt_throughput,f32x2->f16x2,31.9275,ops/clk/SM,
CSV,cvt_rate,f32x2->f16x2,18098.9948,Gelem/s,
CSV,cvt_throughput,f16x2->f32x2,26.5400,ops/clk/SM,
CSV,cvt_rate,f16x2->f32x2,15044.9453,Gelem/s,
CSV,cvt_throughput,f32x2->e4m3x2,33.2439,ops/clk/SM,
CSV,cvt_rate,f32x2->e4m3x2,18845.2590,Gelem/s,
CSV,cvt_throughput,e4m3x2->f16x2,63.4223,ops/clk/SM,
CSV,cvt_rate,e4m3x2->f16x2,35952.7602,Gelem/s,
CSV,cvt_throughput,f32x2->bf16x2,31.8898,ops/clk/SM,
CSV,cvt_rate,f32x2->bf16x2,18077.6451,Gelem/s,
CSV,cvt_throughput,fp4_soft_unpack_LUT,1.9810,ops/clk/SM,
CSV,cvt_rate,fp4_soft_unpack_LUT,4491.9580,Gelem/s,
CSV,cvt_throughput,int8x2->f16x2,7.9920,ops/clk/SM,
CSV,cvt_rate,int8x2->f16x2,4530.4905,Gelem/s,
CSV,quant_kernel,dequant_int8_fp16,1006.0696,GB/s,
CSV,quant_kernel_elem,dequant_int8_fp16,335.3565,Gelem/s,
CSV,quant_kernel,dequant_fp8_bf16,994.2250,GB/s,
CSV,quant_kernel_elem,dequant_fp8_bf16,331.4083,Gelem/s,
CSV,quant_kernel,dequant_fp4_fp16,926.1812,GB/s,
CSV,quant_kernel_elem,dequant_fp4_fp16,370.4725,Gelem/s,
CSV,quant_kernel,quant_fp16_int8,1627.4865,GB/s,
CSV,quant_kernel_elem,quant_fp16_int8,542.4955,Gelem/s,
CSV,quant_kernel,quant_fp16_fp8,1625.8042,GB/s,
CSV,quant_kernel_elem,quant_fp16_fp8,541.9347,Gelem/s,
CSV,quant_kernel,quant_fp16_fp4,1846.2471,GB/s,
CSV,quant_kernel_elem,quant_fp16_fp4,738.4988,Gelem/s,
CSV,quant_kernel,copy_roofline,1087.3115,GB/s,
CSV,quant_kernel_elem,copy_roofline,543.6557,Gelem/s,
