CSV,clock,sustained_sm_clock,2.3004,GHz,
CSV,cvt_throughput,f32x2->f16x2,31.8806,ops/clk/SM,
CSV,cvt_rate,f32x2->f16x2,22881.2056,Gelem/s,
CSV,cvt_throughput,f16x2->f32x2,26.3976,ops/clk/SM,
CSV,cvt_rate,f16x2->f32x2,18945.9824,Gelem/s,
CSV,cvt_throughput,f32x2->e4m3x2,33.1789,ops/clk/SM,
CSV,cvt_rate,f32x2->e4m3x2,23813.0653,Gelem/s,
CSV,cvt_throughput,e4m3x2->f16x2,63.3794,ops/clk/SM,
CSV,cvt_rate,e4m3x2->f16x2,45488.4323,Gelem/s,
CSV,cvt_throughput,f32x2->bf16x2,31.7911,ops/clk/SM,
CSV,cvt_rate,f32x2->bf16x2,22816.9868,Gelem/s,
CSV,cvt_throughput,fp4_soft_unpack_LUT,1.9754,ops/clk/SM,
CSV,cvt_rate,fp4_soft_unpack_LUT,5671.0558,Gelem/s,
CSV,cvt_throughput,int8x2->f16x2,7.9872,ops/clk/SM,
CSV,cvt_rate,int8x2->f16x2,5732.5669,Gelem/s,
CSV,quant_kernel,dequant_int8_fp16,1184.2741,GB/s,
CSV,quant_kernel_elem,dequant_int8_fp16,394.7580,Gelem/s,
CSV,quant_kernel,dequant_fp8_bf16,1190.9434,GB/s,
CSV,quant_kernel_elem,dequant_fp8_bf16,396.9811,Gelem/s,
CSV,quant_kernel,dequant_fp4_fp16,1131.3941,GB/s,
CSV,quant_kernel_elem,dequant_fp4_fp16,452.5576,Gelem/s,
CSV,quant_kernel,quant_fp16_int8,1893.0212,GB/s,
CSV,quant_kernel_elem,quant_fp16_int8,631.0071,Gelem/s,
CSV,quant_kernel,quant_fp16_fp8,1889.0424,GB/s,
CSV,quant_kernel_elem,quant_fp16_fp8,629.6808,Gelem/s,
CSV,quant_kernel,quant_fp16_fp4,2098.8311,GB/s,
CSV,quant_kernel_elem,quant_fp16_fp4,839.5324,Gelem/s,
CSV,quant_kernel,copy_roofline,1259.7399,GB/s,
CSV,quant_kernel_elem,copy_roofline,629.8699,Gelem/s,
