model,platform,matrix_rate,S_tokens,vector_share_pct
Qwen3-30B-A3B,B70,peak,1000,3.4025
Qwen3-30B-A3B,B70,peak,1092,3.5488
Qwen3-30B-A3B,B70,peak,1192,3.7061
Qwen3-30B-A3B,B70,peak,1302,3.8749
Qwen3-30B-A3B,B70,peak,1422,4.0558
Qwen3-30B-A3B,B70,peak,1552,4.2494
Qwen3-30B-A3B,B70,peak,1695,4.4562
Qwen3-30B-A3B,B70,peak,1851,4.6768
Qwen3-30B-A3B,B70,peak,2022,4.9117
Qwen3-30B-A3B,B70,peak,2208,5.1612
Qwen3-30B-A3B,B70,peak,2411,5.4257
Qwen3-30B-A3B,B70,peak,2633,5.7055
Qwen3-30B-A3B,B70,peak,2875,6.0009
Qwen3-30B-A3B,B70,peak,3140,6.3118
Qwen3-30B-A3B,B70,peak,3428,6.6382
Qwen3-30B-A3B,B70,peak,3744,6.9800
Qwen3-30B-A3B,B70,peak,4088,7.3369
Qwen3-30B-A3B,B70,peak,4465,7.7085
Qwen3-30B-A3B,B70,peak,4876,8.0940
Qwen3-30B-A3B,B70,peak,5324,8.4928
Qwen3-30B-A3B,B70,peak,5814,8.9039
Qwen3-30B-A3B,B70,peak,6349,9.3263
Qwen3-30B-A3B,B70,peak,6933,9.7586
Qwen3-30B-A3B,B70,peak,7571,10.1996
Qwen3-30B-A3B,B70,peak,8268,10.6478
Qwen3-30B-A3B,B70,peak,9029,11.1014
Qwen3-30B-A3B,B70,peak,9859,11.5590
Qwen3-30B-A3B,B70,peak,10767,12.0187
Qwen3-30B-A3B,B70,peak,11757,12.4787
Qwen3-30B-A3B,B70,peak,12839,12.9373
Qwen3-30B-A3B,B70,peak,14021,13.3927
Qwen3-30B-A3B,B70,peak,15311,13.8433
Qwen3-30B-A3B,B70,peak,16719,14.2873
Qwen3-30B-A3B,B70,peak,18258,14.7232
Qwen3-30B-A3B,B70,peak,19938,15.1497
Qwen3-30B-A3B,B70,peak,21772,15.5654
Qwen3-30B-A3B,B70,peak,23775,15.9692
Qwen3-30B-A3B,B70,peak,25963,16.3601
Qwen3-30B-A3B,B70,peak,28352,16.7373
Qwen3-30B-A3B,B70,peak,30961,17.1000
Qwen3-30B-A3B,B70,peak,33809,17.4479
Qwen3-30B-A3B,B70,peak,36920,17.7805
Qwen3-30B-A3B,B70,peak,40317,18.0975
Qwen3-30B-A3B,B70,peak,44027,18.3990
Qwen3-30B-A3B,B70,peak,48077,18.6850
Qwen3-30B-A3B,B70,peak,52501,18.9556
Qwen3-30B-A3B,B70,peak,57332,19.2110
Qwen3-30B-A3B,B70,peak,62607,19.4516
Qwen3-30B-A3B,B70,peak,68367,19.6778
Qwen3-30B-A3B,B70,peak,74657,19.8900
Qwen3-30B-A3B,B70,peak,81527,20.0888
Qwen3-30B-A3B,B70,peak,89028,20.2747
Qwen3-30B-A3B,B70,peak,97219,20.4482
Qwen3-30B-A3B,B70,peak,106164,20.6100
Qwen3-30B-A3B,B70,peak,115932,20.7606
Qwen3-30B-A3B,B70,peak,126599,20.9007
Qwen3-30B-A3B,B70,peak,138247,21.0307
Qwen3-30B-A3B,B70,peak,150967,21.1513
Qwen3-30B-A3B,B70,peak,164857,21.2631
Qwen3-30B-A3B,B70,peak,180026,21.3667
Qwen3-30B-A3B,B70,peak,196590,21.4624
Qwen3-30B-A3B,B70,peak,214678,21.5509
Qwen3-30B-A3B,B70,peak,234430,21.6327
Qwen3-30B-A3B,B70,peak,255999,21.7081
Qwen3-30B-A3B,RTX5000,peak,1000,2.1476
Qwen3-30B-A3B,RTX5000,peak,1092,2.2512
Qwen3-30B-A3B,RTX5000,peak,1192,2.3627
Qwen3-30B-A3B,RTX5000,peak,1302,2.4825
Qwen3-30B-A3B,RTX5000,peak,1422,2.6110
Qwen3-30B-A3B,RTX5000,peak,1552,2.7487
Qwen3-30B-A3B,RTX5000,peak,1695,2.8959
Qwen3-30B-A3B,RTX5000,peak,1851,3.0532
Qwen3-30B-A3B,RTX5000,peak,2022,3.2209
Qwen3-30B-A3B,RTX5000,peak,2208,3.3994
Qwen3-30B-A3B,RTX5000,peak,2411,3.5888
Qwen3-30B-A3B,RTX5000,peak,2633,3.7896
Qwen3-30B-A3B,RTX5000,peak,2875,4.0019
Qwen3-30B-A3B,RTX5000,peak,3140,4.2258
Qwen3-30B-A3B,RTX5000,peak,3428,4.4614
Qwen3-30B-A3B,RTX5000,peak,3744,4.7086
Qwen3-30B-A3B,RTX5000,peak,4088,4.9672
Qwen3-30B-A3B,RTX5000,peak,4465,5.2371
Qwen3-30B-A3B,RTX5000,peak,4876,5.5178
Qwen3-30B-A3B,RTX5000,peak,5324,5.8089
Qwen3-30B-A3B,RTX5000,peak,5814,6.1098
Qwen3-30B-A3B,RTX5000,peak,6349,6.4197
